제목,감성
"1분기 효과적인 비용통제에 따른 영업이익률, 컨센서스 1.3%p 상회 SK 텔레콤의 1분기 영업수익은 WCDMA의 지속적인 가입자 증가에도 불구하고, 연초 단행된 SMS 요금인하 및 망내할인제 시행에 따른 ARPU 하락으로 전분기 대비 2.7% 감소한 28,370억원으로 집계되었다.",NEGATIVE
"2분기 안정적인 비용통제는 지속될 전망, 영업이익률은 전분기 대비 1.1%p 상승 SK 텔레콤의 2분기 영업수익은 WCDMA 가입자 증가와 하나로텔레콤과의 유무선 연계를 통해 전분기 대비 2.0%대의 성장률을 기록할 전망이다.",POSITIVE
전북은행의 경우 전체 기업 여신 중 경기민감업종 여신이 차지하는 비중이 약 51.1%로 은행 중 가장 높아 경기 악화시 대출부실화가 더 빠르게 진행될 수 밖에 없다.,NEGATIVE
"우리는 올해 전북은행의 대손비용을 약 270억원(총자산대비 0.42%, 총대출대비 0.68%)으로 추정하고 있는데 1분기 추세가 지속될 경우 대손비용이 우리 추정치를 상회할 가능성이 높은 것으로 판단된다.",NEGATIVE
"필요충분 조건은 해외시장에서의 개선만 남은 상황 기아차 해외판매법인의 누적손실은 08년 슬로바키아 공장의 가동률 상승에 따라 2분기 이후 점차 감소할 것으로 예상되며, 신차 출시가 되는 하반기이후 가속화될 전망임 .",POSITIVE
"쌍용차의 영업외 손익은 원화 약세에 따른 외환손실과 파생상 품손이 발생하였으나, 할인 할부금리프로그램의 미실시로 적자폭이 -66억원으로 감소하였음. ▶",POSITIVE
"투자의견 Buy, 목표주가 33,000원 유지 그러나 메모리 반도체 업계 구조조정이 이루어져도 하이닉스는 독자적인 생존이 가능할 것으로 판단됨. 이는 이미 축적된 기술력과 높은 생산 효율성을 기반으로 DRAM에서 2위, 낸드 플래시에서 3위의 시장점유율을 차지하고 있기 때문임.",POSITIVE
KTF의 매출 증가는 서비스 매출이 2.4% 감소하였으나 단말기 매출이 신규 가입자 증가로 36.9% 상승하였기 때문임.,POSITIVE
"KTF의 신규 가입자는 직전분기 대비 27% 증가한 234만명을 기록함(KTF 단독 188만명, KT 재판매 46만명). 그러나 해지율도 12월말 4.1%에서 3월말 6.1%로 급증함에 따라서 순증가입자는 21.9만명에 그침.",NEUTRAL
"세전이익 비교는 큰 의미가 없는데 왜냐하면 2007년 1분기에는 SK텔레콤 등 일부 주요 자회사의 지분법평가이익이 포함되어 있으나, 2008년 1분기부터는 분할로 인해 포함되지 않았기 때문임. ▶",NEUTRAL
금호타이어의 경우 혁신적인 원가 절감 대책이 어려운 상황이기 때문에 일시적인 판관비 통제로 원재료 비용의 상쇄 효과는 제한적일 것으로 예상된다.,NEUTRAL
"목표주가 11,000원, 투자의견 중립으로 커버리지 개시 금호타이어를 신규로 Cover하면서 제시하는 목표주가 11,000원과 투자의견 중립은 위에서 언급한 상황을 종합한 것이다.",NEUTRAL
"기아차가 현재 진행하고 있는 원가 절감 과정, 원화 약세기를 활용한 해외 법인 부실 제거의 노력과 브랜드 및 해외 마케팅 강화 노력, 신차 출시 일정 등을 감안할 때, 2010년 이후에는 펀더멘탈의 대폭적인 개선이 가능할 것으로 보인다.",POSITIVE
"최대 수출 시장인 유럽 수출 물량의 회복이 3분기부터나 가능할 것으로 전망되어, 체어맨 W 효과에도 불구하고 쌍용차의 실적은 2Q08까지 어려움이 예상된다. (IR Q&A 첨부) 체어맨 W 효과 : 쌍용차가 오랜 만에 보여 준 “차다운 차” 투자 판단의 관점에서 쌍용차를 배제하기 어려운 이유는 2가지이다.",NEUTRAL
"첫째, 3월 초 출고를 시작한 체어맨 W에 대한 소비자들의 반응이 “쌍용차가 오랜만에 차다운 차를 하나 내놨다.”이다.",POSITIVE
이는 당초 기대치인 약 14억원(OPIc)과 12억원(중등)에 비해 다소 실망스러운 수치로 판단된다. (3) 크레듀가 약 4.5억원의 영업손실을 기록한 점은 의외적인 현상으로 이러닝 서비스 매출 감소와 이익률이 낮은 컨텐츠 및 LMS 개발 비중 증가 그리고 신규사업 부문의 인력 채용증가에 대한 인건비 등 고정비 증가때문으로 판단된다.,NEGATIVE
"매출 정체는 전화수익 및 LM수익 감소에 기인하며 영업이익의 감소는 KT PCS 재판매 경쟁격화 및 IPTV가입자 모집을 위한 마케팅비용의 증가 때문이며, 개통가설비 및 인건비 상승도 주요한 원인으로 판단된다.",NEGATIVE
원화가치 하락으로 인해 외화사채환산손실규모가 확대되며 KT의 영업외 비용도 87.0%(yoy)증가하여 세전이익의 감소폭이 확대되었다.,NEGATIVE
"롯데쇼핑은 1분기 센티멘탈 악화와는 달리 백화점, 대형마트 모두 동일점포 매출증가세가 (+)를 기록하며 실적 개선을 견인했다.",POSITIVE
"소비양극화 추세와 해외소비 증가세 둔화로 명품, 잡화 중심의 백화점 매출, 이익이 호조를 기록했고 대형마트 역시 물가상승 요인이 롯데쇼핑의 실적에 (+)로 작용한 것으로 판단된다.",POSITIVE
"고려아연의 목표주가를 하향 조정하는 이유는 08년 연간 영업이익 및 EPS를 종전보다 각각 5%, 15%씩 하향 조정하기 때문이다.",NEGATIVE
"고려아연의 목표주가 18만원은 Target PER 10배, EV/EBITDA 7배를 적용한 가격을 각각 50%씩 가중평균한 가격이다. (RIM 모형에 의하면 18.7만원 산출됨) 1분기 매출액 및 영업이익, 시장 기대치 상회 고려아연의 1분기 매출액과 영업이익은 전년동기대비 감소세를 보였으나, 시장 기대치를 상회하였다.",POSITIVE
"즉 고려아연의 매출액과 영업이익은 각각 6,268억원(-2.7%), 영업이익은 1,044억원(-35.0%)을 시현, 시장기대치(Fn guide: 매출액 5,759억원, 영업이익 995억원)보다 각각 8.8%, 4.9%씩 상회하였다.",POSITIVE
"이는 우리가 추정한 수치(각각 5,768억원, 946억원)보다도 웃돌았는데, 이렇게 고려아연의 1분기 실적이 호전세를 보인 이유는 연을 제외한 아연, 금, 은 등의 제품 판매량 및 판매단가가 예상보다 크게 나타났기 때문이다.",POSITIVE
한화석유화학의 이번 유상증자 건이 주가에 부정적으로 작용한 것은 적지 않은 규모의 유상증자를 하면서 100% 기존 사업강화를 위한 목적 이외 자금의 다른 용도가 있는 것으로 알려지기 때문이다.,NEGATIVE
"SK에너지의 1분기 영업이익은 단순정제마진 및 BTX 시황악화로 우려되었으나 시장컨센서스 (3,000억원)보다 높게 나타났다.",POSITIVE
반면 상대적으로 수익성이 개선 되는 수송용 원료인 디젤 및 가솔린 크랙마진이 크게 개선되었다.,POSITIVE
"디젤 및 가솔린 마진(B-C유 대비)은 전년동기 대비 각각 26.1달러/배럴, 24.4달러에서 각각 28.5달러(+9.1%), 26.3달러(+7.8%) 상승하였다.",POSITIVE
그러나 석유화학부문은 고유가 영향으로 Spread 축소로 인해 영업이익이 전년동기 대비 크게 감소하였다.,NEGATIVE
이는 미국 드라이빙 시즌과 중국 농번기 관련 디젤수요 회복 영향으로 SK에너지의 크랙마진 개선이 이어질 것으로 예상되기 때문이다.,POSITIVE
"또한 석유개발(E&P)부분은 지난 1분기 23,000B/D의 원유를 생산하고 있으나 하반기 추가분을 감안하면 연평균 31,000B/D로 확대될 것이다.",POSITIVE
하나금융지주의 성장을 위해 필요한 자금조달이 차입금이나 사채 등의 시장성 조달보다는 예수금 조달로 이뤄진 부분은 수신 고객 확보 측면에서 그나마 긍정적이지만 금리가 높은 정기예금이 크게 증가해 이는 조달비용 상승으로 이어졌을 것으로 추정된다.,NEGATIVE
"연체와 NPL 여신이 동시에 순증, 4분기 요주의 순증 여신 고정이하로 전이된 것으로 추정 하나은행은 지난해 4분기 중 상각, 매각 전 요주의여신이 약 2,768억원, 고정이하여신이 약 1,604억원 순증하면서 자산건전성 악화에 대한 우려가 높았다.",NEGATIVE
또한 하나은행의 회수의문과 추정손실 금액도 다소 증가해 고정이하 여신내에서도 고정 분류 여신이 회수의문과 추정손실로 전이되고 있는 것으로 보인다.,NEGATIVE
"즉 비철 가격이 약세이고, 이익이 감소하면 주가는 이미 가치주로 전락했다는 의미이다.",NEGATIVE
"2008년 1분기 영업이익은 ‘깜짝 실적’, 순이익은 예상 하회 SK에너지의 1분기 매출액과 영업이익은 국제유가 고공행진, 재고 및 환율 효과에 힘입어 예상과 컨센서스를 크게 상회했으나 순이익은 외환관련 손실과 금융비용 급증으로 예상을 하회했다.",NEUTRAL
1~2월에 바닥을 기던 정제마진이 3월에 급등해 미처 수익예상에 반영하지 못한 점도 SK에너지의 깜짝 영업이익의 원인이었다.,NEUTRAL
"특히, CJ제일제당의 순이익이 시장의 기대수준보다 낮은 것은 환율 관련 손실 때문으로 보인다.",NEGATIVE
"4월 현재 라이신 스팟가격은 1,900달러/톤에 달해 현재의 라이신 원가(1,150달러/톤으로 추정)에서 이익을 내기에 좋은 가격대로 판단된다.",POSITIVE
2009년 턴어라운드 효과가 반영된 향후 2년간 연평균 23%의 제조업 평균 대비 우월한 EPS 성장률과 시장평균 대비 19% 할인된 낮은 밸류에이션을 감안해 프리미엄을 부여하여 기아차의 가치를 산정했다.,POSITIVE
기아차의 수출감소에 따른 매출 부진을 감안할 때 성수기였던 2007년 4분기의 977억원을 뛰어넘은 것은 고무적인 동시에 의외의 결과로 평가된다.,POSITIVE
기아차는 다만 강판 등 주요 원자재가격 상승이 원재료비 증가요인으로 작용할 전망인데 원가개선 성과로 이에 따른 마진훼손을 보완할 것으로 예상된다.,NEUTRAL
환율 상승에 따라 기아차의 해외재고 해소와 현지판매법인 손익 정상화를 위한 마케팅 지원여력이 확대될 전망이다.,POSITIVE
그러나 NAND 48나노 수율 확보에 청신호가 켜지고 있다는 점은 하이닉스에 확실히 긍정적이다.,POSITIVE
"메모리 시장은 1) Capex 축소, 2) 전략적 제휴 구도의 변화, 3) 선발업체들의 8인치 가동 중단 등 일련의 ‘비자발적’ 행동에 의해 이미 턴어라운드 국면을 맞고 있다.",POSITIVE
"삼성전자의 공격적 목표는 Yield 이슈를 겪지 않는다는 최상의 가정 하에서만 달성 가능하므로, 사실상 ‘비자발적 내쉬 균형’의 촉매제 역할이다.",NEGATIVE
"하이닉스는 이미 8Gb MLC NAND 가격 상승의 수혜를 받기 시작했으며, DRAM 가격 상승 국면에서 재차 수혜가 예상된다.",POSITIVE
소비 경기 둔화에 대한 우려감은 남아 있으나 롯데쇼핑의 향후의 실적 전망도 긍정적 관점을 유지한다.,POSITIVE
"백화점 부문은 08년 기존점의 3%대 성장, 명품 부문의 급성장, 신규점 개점을 통해 9.7%의 안정적인 이익성장이 예상된다.",POSITIVE
"KTF의 3G 가입자 순증은 164만명을 기록하며, 역대 최고의 가입자 유치 실적을 기록하였다.",POSITIVE
"이에 따라 연초 단행된 SMS 요금인하 등에 따른 데이터 ARPU 하락 분을 상쇄시키며, KTF의 전체 데이터 수익을 3.2% 증가시키기도 하였다.",POSITIVE
"원화 약세가 우호적 환경이 되었고, Product Mix 효과, 원가 절감과 비용 통제가 삼성전자가 기대 이상의 실적을 기록한 구체적 요인이다.",POSITIVE
삼성전자 이제 시작에 불과! 향후 2년간 다이나믹한 성장 스토리 예상 이제 시작에 불과하다!,POSITIVE
"Lifetime Rally 예상! 목표주가 850,000원으로 상향 1분기 예상을 뛰어넘는 Earnings Surprise와 연간 실적 상향 조정에 따라 삼성전자의 목표주가를 750,000원에서 850,000원으로 재차 상향한다.",POSITIVE
"삼성전자의 새로운 목표주가는 올해 예상 PBR 2.4배에 해당하며, 이는 반도체, 디스플레이, 휴대폰이 균형적 이익을 창출하였던 2004년의 PBR Valuation 수준이다.",POSITIVE
"1분기 영업수익은 전 분기 대비 1.0% 감소, 영업이익률은 컨센서스 대비 4.9%p 하락 1분기 KT의 인터넷과 IPTV 가입자 순증은 역대 최고 수준을 기록하며 가입자 유치는 성공을 거두었다.",NEUTRAL
08년 공격적 마케팅 지속 전망에 따라 Guidance 달성은 불확실해질 전망 2분기 이후에도 KT의 공격적인 시장 대응은 지속될 전망이다.,NEUTRAL
"STB 가격 하락, 디지털 TV 판매 기대 이하로 부진한 1분기 실적 휴맥스의 08년 1분기 연결 기준 매출액은 전년동기 대비 13.7 감소한 1,778억원, 영업이익은 60.3% 감소한 58억원을 기록하였다.",NEGATIVE
"본사 기준 휴맥스의 매출액 및 영업이익은 전년동기 각각 15.4%, 22.1% 감소한 1,314억원 및 67억원이다.",NEGATIVE
휴맥스는 1분기 일본 ODM 제품이 시작되면서 기대를 높이고 있긴 하지만 아직은 적자가 지속되고 있다.,NEUTRAL
"1분기 센티멘탈 악화와는 달리 백화점 매출증가세는 1분기 내내 (+) 증가율을 유지했는데 소비양극화추세와 해외소비 증가세 둔화로 명품, 잡화 매출이 호조를 기록한 것으로 추정된다.",POSITIVE
"NOL 1분기 평균운임 $2,934/FEU(15.6%,yoy), 누적수송량 662.9천FEU(13.9%,yoy)로 긍정적 NOL사의 3월 평균운임의 발표로 확정된 1분기 평균 운임은 $2,934/FEU를 기록하여 전년동기 대비 15.6%상승한 것으로 나타났다.",POSITIVE
"CJ인터넷의 2008년 연간 예상 매출액은 전년대비 20.5% 증가한 1,925억원, 영업이익 524억원(+14.7%), EPS 1,376원(+21.3%)으로 전망된다.",POSITIVE
"1월에 분양 개시한 두산건설의 해운대 제니스(사업규모 1.1조원, 1,788세대) 프로젝트의 분양률은 42%로 당초의 우려와는 달리 양호한 수준을 기록하고 있음.",POSITIVE
종근당은 최근 3년내 출시한 신제품들의 성장이 양호한 가운데 올해도 25개의 신제품을 출시하여 순환기 계통의 제품에 마케팅 능력을 집중할 계획임.,POSITIVE
"시너지 효과는 하반기부터 본격화될 전망 하나로텔레콤은 1분기에 발생한 영업공백으로 전화는 3.5만명 증가, 하나TV 가입자는 7.5만명 순증했고, 초고속인터넷 가입자는 3.3만명 순감하는 모습을 보임.",NEUTRAL
"■ 제일모직 1Q 영업이익 557억원(전년동기비 +84.4%), 예상보다도 훨씬 양호 제일모직의 1분기 매출액과 영업이익은 각각 8,285억원과 557억원을 기록하였다.",POSITIVE
"제일모직의 매출액은 전년동기비 23% 증가했고 영업이익은 프리뷰 자료에서 어닝서프라이즈 수준인 500억원 수준을 전망했는데, 전망치보다도 두자릿수 늘어난 양호한 실적이었다.",POSITIVE
케미컬 부문은 매출과 영업이익 모두 기대이상의 수준을 기록했으며 현 수준대로라면 연간 실적은 가이던스를 상회할 전망이다.,POSITIVE
종근당의 최대주력인 고혈압치료제 딜라트렌은 약가인하와 유통구조 조정의 여파로 지난해까지 크게 부진했으나 지난 분기에는 오랜만에 20%대 성장률을 기록하며 매출 두자리수 성장의 견인차가 되었다.,POSITIVE
"또한 실크라민, 아벨록스, 타크로벨 등 종근당 신제품의 성장기여도 간과할 수 없다. 1분기 영업이익은 직전 추정치와 거의 유사한 100억원을 기록했다.",NEUTRAL
"CJ인터넷은 하반기 ‘진삼국무쌍’, ‘드래곤볼’ 등 해외 대작 출시와 해외 매출액 증가가 예상된다.",POSITIVE
"이는 1) 기존 두 가지 맞고를 통합한 신규게임 고스톱 2.0 출시와 2) 지난 4분기부터 시작한 ‘윷놀이’ 서비스가 인기를 끌었기 때문이다. 하지만 CJ인터넷의 1분기 순이익은 자회사 대손상각비, 기부금 등 영업외비용이 추가되면서 영업이익보다 낮은 개선폭을 기록했다.",POSITIVE
CJ인터넷의 야구게임 ‘마구마구’는 프로야구 시즌이 시작된 2분기에 매출 기록을 경신할 것으로 예상된다.,POSITIVE
"1분기 매출액은 18.4%, 영업이익 58.9%, 순이익은 19.2% 증가 현대중공업은 1분기 매출액이 전년 동기 대비 18.4% 증가한 43,541억원, 영업이익은 58.9% 증가한 6,396억원, 순이익은 19.2% 증가한 4,423억원으로 공시했다.",POSITIVE
"하나로텔레콤의 영업외 수지는 일부 신디론 조기 상환에 따른 일회성 손실에도 불구하고 지분법손익의 확대로 소폭 개선되었으나, 영업이익의 감소의 영향으로 당기 순손실 67억원을 기록하였다.",NEGATIVE
하나로텔레콤의 2분기 영업이익률은 전 분기 대비 재 반등하여 4.3%를 기록할 전망 하나로텔레콤의 2분기 영업수익은 기업 전화와 전용회선 부문의 성장에 따라 전 분기 대비 2.7% 증가할 전망이다.,POSITIVE
서울반도체의 매출액은 계절적 비수기 임에도 사상 3번째 높은 수치를 기록했다는 점에서 07년 4분기의 불량에 대한 영향은 크지 않았던 것으로 판단된다.,POSITIVE
서울반도체는 하반기 이후 조명시장에 대한 비중이 증가하면 다시 본격적인 외형 성장이 시작될 전망이다.,POSITIVE
"1) LED 산업 특성상 특허 문제에 민감할 수 밖에 없는 상황이고, 서울반도체 역시 글로벌 LED 업체들과 법률 분쟁이 지속되고 있다.",NEGATIVE
2) R&D 비용과 인건비도 서울반도체 성장을 위해 감내해야 하는 비용이라는 점에서 부정적으로 판단할 필요는 없다.,NEUTRAL
그러나 철근 가격이 열연강판 가격을 상회하는 것은 이상(異常) 현상으로 현대제철의 하반기 Roll margin에 부담 요인이다.,NEGATIVE
"현대제철의 상반기의 비정상적(非正常的)인 수익성 호조는 하반기의 부담 요인 국내 철근, 열연강판의 공급 부족과 적극적인 판매가격 인상으로 상반기 수익성은 당초 기대치를 상회할 전망이다.",NEUTRAL
그러나 현대제철의 롤마진은 1분기 이후 원료가격 상승분이 판매가격에 100% 전가되지 못하면서 우하향 추세가 예상된다.,NEGATIVE
"기업은행 순익 호조의 원인은 NIM의 안정으로 이자이익이 안정되었고, 유가증권 부문에서 원-오프 요인이 있었기 때문이다.",POSITIVE
"또한, 이는 기업은행의 ‘07년 1분기의 수정 순익 2,540억원과 4분기의 수정순익 2,100억원을 상회하는 좋은 실적이다.",POSITIVE
"등유, 경유 등 정제업황 강세 지속 전망 공시를 통하여 추가적으로 분석될 수 있는 것은 지금부터 2011년 6월까지 정제업황 강세가 지속될 수 있음을 간접적으로 확인할 수 있다는 것임.",POSITIVE
"B-C유와 등유, 경유 가격 차이로 인해 SK에너지에 높은 수익성의 사업기회가 현재 발생하였음.",POSITIVE
그래서 일부 정유기업들은 고도화시설의 추가적 건설에 긍정적일 것으로 판단됨. 그러나 반응기 등 여러가지 생산시설 공급부족으로 인해 납기를 단축하는데 어려움이 있는 것으로 알려져 있음.,NEUTRAL
"삼성정밀화학의 메셀로스 매출액은 판가상승 등의 영향으로 전년동기대비15.3% 증가하였으며, 지력증가제인 PTAC는 증설효과가 발생하였고, Anycoat역시 증설효과 및 판가상승이 이루어졌음.",POSITIVE
"전자재료 부문의 매출액은 전체 매출액의 4.4%로 소폭이지만 전년동기대비 104% 증가하였는데, TMAC는 LCD시장의 수요 증가에 따라 판매량이 증가하였음.",POSITIVE
"삼성정밀화학의 요소 매출액은 국제 곡물가격 상승에 따른 판가 상승이 있었으며, 가성소다는 공급부족 현상으로 수혜를 받았고, 암모니아는 비료, 카프로락탐 등 전방산업 호조의 영향으로 매출액이 증가했음. ▶",POSITIVE
유한양행의 이세파신과 암로핀이 약가재평가 품목에 포함되며 실적악화에 대한 우려감이 존재하였지만 다른 주력 제품이 양호한 성장을 보이며 의약품 부문의 성장률 둔화에 대한 우려를 불식시키고 있음. ▶,NEUTRAL
"현대모비스 2007년 7월 전고점 110,000원 도달 가능성 높다 목표주가 110,000원은 두 가지 의미를 지닌다.",POSITIVE
"한국타이어측은 당초 6월 경에 정상 가동될 계획되었던 헝가리 공장의 일정이 지연되고 있음을 밝혔는데, 수정 계획 일정인 9월에 정상 가동된다 하더라도 2008년 헝가리 공장 지분법손실이 600억원에서 1,000억원으로 증가하여, 원재료 단가 상승과 더불어 2Q08 이후의 세전이익에 대한 부담이 지속될 전망이다.",NEGATIVE
올 1~4월에도 KOSPI 대비 Underperform을 하고 있는 한국타이어 주가가 Outperform 추세로 전환되기에는 상당한 시간이 소요될 것으로 판단된다.,NEGATIVE
"주택 및 건축부문의 부진은 2007년 1분기 기저효과(대전 문화동, 아산 배방사업, 그리고 양동빌딩 준공시 매출 기여)가 가장 큰 요인임.",NEGATIVE
"아모레퍼시픽의 투자 포인트는 1) 실적 안정성, 2) 프리미엄 화장품 경쟁력, 3) 중국사업의 고성장이다.",POSITIVE
화장품 사업부문의 영업이익률은 30.5%에 달하였으며 전체 영업이익의 96.1%(967억원)가 동 사업부문에서 발생하였다.,POSITIVE
생활용품 및 설록차 사업 부문은 5.3%의 부진한 영업이익률을 보이며 39억원의 이익을 시현하는데 그쳤다.,NEGATIVE
"이와 같은 생활용품 및 설록차 부문의 실적부진의 원인은 1) 설 명절기간 동안에 할인 판매된 선물세트, 2) 설록차 부문의 성장이 정체되었기 때문이다.",NEGATIVE
"프리미엄 화장품의 입지 재확인 08년 1분기 중 아모레퍼시픽의 프리미엄 브랜드 매출액 비중은 약 62%로 추정되며 금액으로는 약 1,957억원으로 추산된다.",NEUTRAL
또한 ‘매스티지’ 개념으로 신규 출시된 한방화장품 ‘한율’은 매출 55억원을 기록하여 화장품 매출비중 1.7%를 달성하였다.,NEUTRAL
"중국 자회사 전년동기대비 매출 34.7%, 순이익 193.4% 증가로 빠른 성장세 지속 아모레퍼시픽의 중국(홍콩 제외) 자회사들의 실적은 매출 170억원, 순이익 20억원으로 전년 동기대비 매출 34.7%, 순이익 193.4% 증가하였다.",POSITIVE
"1) 1분기 현재 LED 매출액 비중은 17%에 불과하나 08년 26%, 09년 32%로 증가하면서 점차 LED가 주력 사업이 될 전망이다.",POSITIVE
3) 실적 부진의 원인이었던 통신/방송 사업부문의 실적 개선이 예상보다 빠르게 진행되고 있다.,POSITIVE
LS산전의 매출액이 예상보다 저조한 주 이유는 동가공 제품이 전년 동기 대비 감소했기 때문이다.,NEGATIVE
"LS산전의 영업이익률은 원자재 가격 상승, 운송비 상승, 노무비 상승 원인으로 전년 동기 대비 하락했다.",NEGATIVE
2008년 수주 계획 8.9조원으로 9% 상향 → 발전설비와 담수화 설비 추가 수주 기대 두산중공업은 연초에 2008년 수주 계획을 8.2조원으로 발표한 바 있다. 1분기가 지난 지금 8.9조원으로 수주 목표를 상향 조정하였다.,POSITIVE
"카메라 모듈은 해외 거래선의 부진으로 적자를 기록한 상황이나, 주력 거래선의 5Mega 제품이 3월부터 본격적으로 판매되면서 2분기부터는 실적이 대폭 개선될 전망이다.",POSITIVE
2) 삼성전기의 주력 사업인 MLCC의 초과 공급으로 인한 급격한 실적 악화 가능성은 작다.,POSITIVE
1분기 재고 소진을 위한 단가 인하는 생산능력 증설을 지연시킬 가능성이 크다. 3) 차세대 성장 동력인 LED 사업은 08년부터 본격적인 성장을 시작할 전망이다.,POSITIVE
"1분기 영업이익은 33.7% yoy(연결 기준) 증가한 115억원 삼성전기의 1분기 연결기준 매출액은 전년동기 대비 15.7% 증가한 8,850억원, 영업이익은 33.7% 증가한 115억원을 기록하였다.",POSITIVE
한국타이어는 RE(교체용 타이어) 시장에서의 판가 인상 등 비용 상승의 가격 전가 여력이 유지되고 있는 편이다.,NEUTRAL
"1분기 Review: 한국타이어 영업이익 전년 대비 21% 증가, 원가통제력 건재 1분기 매출액과 영업이익은 각각 6,165억원, 851억원 씩의 사상 최대 실적을 기록했다.",POSITIVE
"한편 한국타이어의 세전이익은 해외공장 관련 지분법평가손실 확대, 유로 부채 관련 평가손실 발생 등에 따라 전년동기 대비 14.8% 감소했다.",NEGATIVE
"둘째, 기업은행은 경기여건의 변화에도 불구하고 건전성이 안정되어 중소기업 여신 건전성 우려는 크지 않다.",NEUTRAL
"넷째, 기업은행은 중소기업 대출 시장에서의 경쟁력으로 향후 민영화가 추진될 경우 프리미엄이 예상된다.",POSITIVE
"BDI지수 강세로 2008년 매출액은 16.3%, 영업이익은 18.2% 상향 대한해운의 1분기 영업실적은 긍정적으로 평가된다.",POSITIVE
"대한해운이 보유하고 있는 용선 158척의 평균 BDI는 7,500포인트로 BDI지수가 고공행진을 이어갈 경우 분기당 1,000억원의 실적 달성이 가능할 것으로 판단된다.",POSITIVE
"중기 전망: 2분기 Peak, 어닝 모멘텀 상반기 집중. 그러나 수익실현은 이른 시점 현대모비스 중기 수익예상은 환율 수혜 요인과 해외공장 부품수요 신장세가 기존 기대 이상일 것으로 보여 종전보다 상향조정했다.",POSITIVE
"연간으로는 환율 수혜가 집중되는 2008년 현대모비스의 어닝 모멘텀이 2009년 이후보다 두드러지고, 이번 2분기를 정점으로 2008년 상반기에 어닝 모멘텀이 집중될 전망이다.",POSITIVE
그러나 현대모비스는 2008년 10.5%의 영업이익률로 마진 개선이 두드러지고 EPS 성장률도 17%로서 양호할 것으로 수정 전망된다.,POSITIVE
지난해 포함되지 않은 보안관제 서비스를 제외할 경우 9.6% 감소한 99억원이며 이는 안철수연구소의 2분기 실적 개선이 제한적일 것임을 의미한다.,NEUTRAL
이는 정보보안에 대한 의식 제고와 예산 확대로 이어질 것으로 전망한다. 3) 네이버에 무료 백신 제공을 철회하고 안철수연구소의 차별화된 유료 개인용 서비스인 ‘V3 365 클리닉’이 하반기부터 본격적으로 자리를 잡을 것으로 예상한다.,POSITIVE
"다음의 실적 호전의 이유는 1) 1분기 대폭 감소했던 디스플레이광고가 브랜딩 광고 매출 확대에 힘입어 전분기대비 26.7% 증가한 256억원 발생될 것으로 추정되고, 2) 검색 트래픽 증가로 검색광고 매출이 전분기대비 9.7% 증가한 328억원으로 예상되기 때문이다.",POSITIVE
"따라서 실적 부진에도 불구하고 충격은 다소 덜했던 것으로 판단된다. 하지만 예상이 가능했던, 그렇지 않던 대우건설의 영업이익이 전년대비 53% 감소한 것은 동사의 투자의견 및 목표주가에 대해 고민을 할 수 밖에 없다.",NEGATIVE
우선 대우건설 IR에서 밝히고 있는 1분기 일시적인 요인을 제거하고 07년 1분기와 비교해보았다.,NEUTRAL
"08년 대우건설의 경영계획의 원가율 목표 등과 비교했을 때 큰 차이는 없으며, 기저효과와 일시적 원가상승 요인이 맞물리면서 이익 폭이 축소된 것으로 판단된다.",NEUTRAL
기업은행의 1분기 순이자마진은 2.54%로 전분기 2.56% 대비 2bp 하락에 그쳐 시중은행 중 마진이 가장 선방한 것으로 추정된다.,POSITIVE
비록 산재보험료 취급에 따른 마진 상승 요인이 있긴 했지만 동 요인을 제외하더라도 기업은행의 순이자마진 하락 폭은 5bp에 불과한 것으로 추정된다.,POSITIVE
매분기 발생하는 ABS 이자수익 효과를 제외시 기업은행의 마진 하락 폭은 1bp로 오히려 더 낮아진다.,POSITIVE
기업은행은 2분기 중 산재보험료 취급액이 추가 인식될 예정인데다 대출금리 정상화로 인해 향후 마진 압박은 빠르게 완화될 전망이다.,POSITIVE
"목표주가는 다기간 RIM모형에 의해 산정된 15,000원을 유지한다. 08.1Q실적: 마케팅비용 절감으로 수익성 개선 LG텔레콤의 08.1Q 서비스매출은 822.3십억원(yoy 7.3%), 영업이익은 89.9십억원(yoy 30.1%), EBITDA는 182.9십억원(yoy 17.2%), 당기순이익은 76.1십억원(yoy 14.9%)이다.",POSITIVE
더욱이 전년말에 증설효과까지 겹치면서 AnyCoat의 국제가격도 급등하고 있는 것으로 알려지고 있다.,POSITIVE
"강원랜드의 1분기 매출액과 영업이익의 전년동기 증가율이 둔화되면서, 불법 사행산업 퇴출과 스키장 개장 효과가 반감되는 모습이다.",NEGATIVE
"코오롱의 투자포인트는 1) 실적 호조 지속, 2) 부단한 구조조정으로 인한 수익성 개선과 재무구조 안정, 3) 아라미드, 물, 태양광 등 신성장 동력 부각 등이다.",POSITIVE
코오롱의 1분기 영업이익은 218억원을 기록하며 당사 예상치에 부합했다.,NEUTRAL
없는 구조조정으로 수익성 개선과 재무구조 안정화 기대 코오롱이 매력적인 이유는 실적 개선에도 불구하고 구조조정의 고삐를 늦추지 않고 있기 때문이다.,POSITIVE
유엔젤의 영업이익률은 하드웨어를 포함한 매출 비중의 감소로 전년동기 대비 11.3%p 증가한 36.2%를 기록했다.,POSITIVE
현재 RBT 매출은 분기당 약 45억원을 기록하고 있지만 6월부터는 분기당 23억원 수준으로 감소할 전망이다,NEGATIVE
